,CHATHAM STREET,BLESSINGTON STREET,BOLTON STREET,GREEK STREET,CHARLEMONT PLACE,CHRISTCHURCH PLACE,HIGH STREET,CUSTOM HOUSE QUAY,EXCHEQUER STREET,DAME STREET,EARLSFORT TERRACE,ECCLES STREET,FITZWILLIAM SQUARE WEST,FOWNES STREET UPPER,HARDWICKE STREET,GEORGES QUAY,GOLDEN LANE,GRANTHAM STREET,HERBERT PLACE,JAMES STREET EAST,LEINSTER STREET SOUTH,TOWNSEND STREET,CUSTOM HOUSE,CATHAL BRUGHA STREET,MERRION SQUARE EAST,MERRION SQUARE WEST,MOLESWORTH STREET,MOUNTJOY SQUARE WEST,ORMOND QUAY UPPER,PARNELL SQUARE NORTH,PARNELL STREET,PEARSE STREET,PRINCES STREET / O'CONNELL STREET,PORTOBELLO HARBOUR,SMITHFIELD,ST. STEPHEN'S GREEN EAST,ST. STEPHEN'S GREEN SOUTH,TALBOT STREET,WILTON TERRACE,JERVIS STREET,HARCOURT TERRACE,SMITHFIELD NORTH,PORTOBELLO ROAD,UPPER SHERRARD STREET,DEVERELL PLACE,STRAND STREET GREAT,EXCISE WALK,GUILD STREET,YORK STREET WEST,YORK STREET EAST,NEWMAN HOUSE,CLONMEL STREET,HATCH STREET,MOUNT STREET LOWER,GRATTAN STREET,SIR PATRICK DUN'S,DENMARK STREET GREAT,NORTH CIRCULAR ROAD,HARDWICKE PLACE,LIME STREET,FENIAN STREET,SANDWITH STREET,CONVENTION CENTRE,NEW CENTRAL BANK,THE POINT,HANOVER QUAY,GRAND CANAL DOCK,BARROW STREET,KEVIN STREET,JOHN STREET WEST,FRANCIS STREET,OLIVER BOND STREET,JAMES STREET,MARKET STREET SOUTH,WOLFE TONE STREET,MATER HOSPITAL,ECCLES STREET EAST,ST. JAMES HOSPITAL (LUAS),ST. JAMES HOSPITAL (CENTRAL),MOUNT BROWN,EMMET ROAD,BROOKFIELD ROAD,ROTHE ABBEY,PARKGATE STREET,COLLINS BARRACKS MUSEUM,BLACKHALL PLACE,FITZWILLIAM SQUARE EAST,BENSON STREET,SOUTH DOCK ROAD,HEUSTON BRIDGE (NORTH),HEUSTON STATION (CENTRAL),HEUSTON STATION (CAR PARK),ROYAL HOSPITAL,KILMAINHAM LANE,KILMAINHAM GAOL,FREDERICK STREET SOUTH,CITY QUAY,HEUSTON BRIDGE (SOUTH),KING STREET NORTH,WESTERN WAY
WILTON TERRACE,6.217916808,13.9593383,12.30826822,12.05042277,3.703900757,9.956465598,12.092326,7.832098454,7.359481472,8.83510362,2.847580933,15.39600808,1.786448961,7.843379937,12.5243729,7.321795337,8.328383696,6.210693188,3.594645734,2.961249956,4.816293781,6.614073545,7.747748186,10.2831566,4.532539572,3.588260227,5.038410873,11.91372492,9.921663405,11.87793282,10.79536379,5.872759279,8.844650508,6.100171253,14.38800043,3.083163123,5.122530526,8.994866552,0,10.23436185,2.534501472,14.86752181,7.497565802,13.17485353,9.313220469,9.021644314,8.502286684,9.440212809,6.70163753,5.448481255,4.448201808,5.267900264,3.950103089,6.047465274,5.567003751,6.712771644,11.99610758,13.68637048,12.96966508,7.944976458,5.250361364,6.7592713,10.01095213,11.24327033,12.68855524,9.429371754,8.404406412,9.164644036,7.700391165,12.91616383,11.8605744,14.56292072,17.61799303,17.57279567,10.70172889,14.57460593,13.92229563,19.94349637,21.06698931,21.97742965,27.13896303,23.2024676,24.9784574,20.35854684,17.35078759,16.08850081,1.626230641,10.92252419,11.32921823,20.61115132,22.46633166,22.92825589,22.1642939,25.74213651,28.11728845,4.850020681,7.591863622,20.31442752,13.27502391,13.57626567
JERVIS STREET,4.130445652,4.160098687,2.086336583,3.136804429,9.089820238,2.917186661,4.673478446,9.002275045,2.949720567,2.078213227,7.986348504,5.507595804,8.929030709,2.3910506,3.633804371,7.005667729,3.664516399,6.883893781,12.20580667,10.6103681,6.588595324,5.935985385,5.800218563,3.49688988,10.62957328,8.208363331,5.343623389,5.495447909,1.266538785,2.580849114,1.470632528,8.083653696,3.086591188,8.708108798,5.601841308,7.215610205,5.693470637,6.758275356,10.23436185,0,8.617041008,5.619637717,8.835150365,5.701364642,5.717209997,1.327590488,10.84574933,12.44591381,4.439309105,5.136221532,6.147423495,6.200311804,7.477413842,13.14265475,11.83428826,13.32807861,4.35524007,6.269958703,4.5417336,11.21763093,10.19956245,9.546495178,13.61452459,15.44452377,17.33322162,14.41387292,13.79955821,15.07965311,5.125780525,5.67452297,5.127459085,7.045414428,10.31241192,10.57141009,0.4797836962,5.712916462,4.775535431,13.15944891,14.56911554,15.1213349,20.42917816,16.85016931,18.62401882,12.16991221,9.00689486,7.254175396,9.907935921,16.18678802,17.39071678,12.47502717,14.66889748,15.08506444,14.86511523,18.85778598,21.19171089,5.765825868,9.948915999,12.29711176,3.453925846,3.476549795
HARCOURT TERRACE,4.48919976,12.61847568,10.61346362,9.975334576,1.484028694,7.812486928,9.797113107,8.742309648,5.667995099,6.925648849,0.6421131265,14.03390286,2.948622373,6.301587984,11.42561362,7.656761406,6.128848738,3.684773546,6.037323315,5.057145591,4.853176225,6.566691937,7.672444352,9.462233043,6.387650763,4.446280483,4.125215161,11.39084401,8.065213719,10.62875639,9.450708591,6.662848632,7.944760383,3.68153279,12.17998614,2.616534193,3.01232035,9.136676637,2.534501472,8.617041008,0,12.73134727,5.055360626,12.48938043,9.139663189,7.558598832,9.834151568,11.0276952,4.559875717,3.501941672,2.471619011,2.902604755,1.474523151,8.328607509,7.615125681,8.933271926,11.1789192,13.04722555,12.02209326,9.459250016,6.859232366,7.963383834,11.77631103,13.19700118,14.77586405,11.45939476,10.46565275,11.36524522,5.302771244,10.56132549,9.502633635,12.18297198,15.16557603,15.09947497,9.053157939,13.57622457,12.81264275,17.44023904,18.54770057,19.46810937,24.61262896,20.67414471,22.44770146,17.95879782,15.00720713,13.84225314,3.606862992,13.06729328,13.61982476,18.20334494,20.01261076,20.47567118,19.67671633,23.22323535,25.59550603,4.266819426,8.807777813,17.89688031,11.34082332,12.07733923
SMITHFIELD NORTH,8.750124429,5.986242462,4.109783917,2.841426754,12.63403962,4.924724495,3.272042699,14.60897076,7.746136982,6.133451521,12.18830168,6.208033034,13.90195541,7.563789199,7.251922134,12.62073575,6.602635317,9.690767411,17.39761529,15.84342078,12.01525572,11.54490349,11.4034878,8.637385089,16.07696436,13.5372946,10.5074242,10.03237841,5.216546136,6.516682942,6.359126077,13.674144,8.657703426,11.22727193,0.904728425,12.13329841,9.776187176,12.23875531,14.86752181,5.619637717,12.73134727,0,10.62392372,9.517524416,11.13294737,6.881426286,16.45185057,18.04824905,8.193638381,9.419330257,10.42738379,9.855000054,11.31430567,18.60658366,17.33172942,18.84595449,8.638836221,9.913254692,8.094653569,16.83705714,15.72909219,15.16193151,19.22197253,21.05349769,22.94280192,20.03143109,19.40267686,20.67630956,7.643138608,3.163430531,3.893164053,2.965799042,5.346435931,5.772035328,5.206087109,8.196293703,7.366365226,8.16653088,9.607648459,9.954588528,15.12866693,11.81376319,13.50733626,6.62729897,3.55771175,1.704121327,14.92042281,21.80593073,22.99933849,6.938769754,9.171937812,9.566855074,9.52801207,13.53830527,15.8091143,11.03605953,15.56715565,6.801751651,2.2967199,4.975565321
PORTOBELLO ROAD,5.951292884,12.90674746,10.24141771,8.462856644,3.816021677,6.501383487,7.351881023,12.94934723,6.624032553,6.759241935,5.050870547,14.12997591,7.911393855,7.375841286,12.4039945,11.39371789,5.18460211,2.323154156,11.07138924,10.09844676,8.788431796,10.04366092,10.92434133,11.27324236,11.33947819,9.0685566,7.239446609,13.47966719,7.724287545,11.38414068,10.17973538,10.95094899,9.889320509,1.399964071,9.834528749,6.910224805,4.626634918,12.46867029,7.497565802,8.835150365,5.055360626,10.62392372,0,14.17360484,12.04742938,8.428745941,14.34735666,15.70341945,4.75552983,5.109897815,4.960668076,3.772633779,4.025814445,13.38033093,12.61406921,13.97296165,12.75788523,14.76505362,13.245415,14.12652176,11.68381269,12.47015503,16.5658202,18.09294885,19.73903823,16.41286961,15.44199063,16.39123172,3.712520858,7.689031983,6.763468672,9.004558937,11.38332533,11.17751924,9.091997869,14.53733825,13.60927014,13.22561621,14.16166081,15.16819867,20.09132911,16.15149462,17.87205797,14.38641646,11.83388342,11.18806399,8.656148341,18.06578478,18.66629556,14.58183631,16.09443718,16.55583932,15.54579335,18.79497814,21.12189176,7.736871354,13.27521478,14.23182861,10.12372766,12.03504191
UPPER SHERRARD STREET,8.49172591,3.71663682,5.67518841,8.179632209,13.43926114,8.612709629,10.02518514,7.948807185,7.586140857,7.590835928,11.86422625,4.438203483,11.46085708,6.821884638,2.324671555,6.68317006,9.195149439,11.9895373,13.71131707,12.21344771,8.41004228,6.720213522,5.702483959,3.042547132,11.44586787,9.95670895,8.385967599,1.434682057,6.967880655,3.299162071,4.230816831,8.436177784,4.562071739,13.75758267,9.965050791,10.21838357,10.1531011,5.188155625,13.17485353,5.701364642,12.48938043,9.517524416,14.17360484,0,4.259700972,5.755843264,9.463852203,10.80668429,9.448144063,9.544810856,10.30726674,10.90361102,11.80801989,13.55088573,12.22096951,13.41890431,1.415746498,0.5915001947,1.423417581,10.20848523,10.63357739,9.138401991,11.95020781,13.6702912,15.46061068,13.30923111,13.08245688,14.34428246,10.5715169,10.90608924,10.60431603,11.9207936,14.84039406,15.22693824,5.681585976,2.156652088,2.404670955,17.68064043,19.12219366,19.45912184,24.55038977,21.3301295,23.01063342,15.9038774,13.03306674,11.17663,12.18483861,14.85909192,16.314095,16.21808695,18.46358049,18.81354533,18.97161615,22.95802717,25.15853477,8.389375495,9.039488324,16.14997467,7.36720804,4.576006535
DEVERELL PLACE,6.111922518,6.736887947,7.06181177,8.851553163,10.34065378,8.184796187,10.31596262,3.897517401,5.727823348,6.645953372,8.572518826,7.967428258,7.538590822,5.137807757,4.836516521,2.423479325,7.936040419,9.726064383,9.480209446,8.017753245,4.507370281,2.699622605,1.568257359,2.570083947,7.187349692,5.878224558,5.112789627,2.837785098,6.693890455,4.95254147,4.777228484,4.180605337,2.713974552,11.27629734,11.25156762,6.609460387,7.500941738,1.149530748,9.313220469,5.717209997,9.139663189,11.13294737,12.04742938,4.259700972,0,4.811096455,5.624649954,7.143539898,7.434349749,6.959231106,7.396862563,8.351688941,8.836843371,9.318639494,7.979209512,9.227627981,3.581082411,4.651034517,4.705464132,6.237092809,6.376884377,4.953697338,8.330357945,10.14537745,12.0184372,9.456320155,9.082755168,10.37360283,8.953282217,11.34155055,10.67379698,12.76053437,16.02640986,16.28852113,6.030890297,6.190903147,5.946315854,18.87632142,20.28616756,20.83192785,26.12813422,22.56737758,24.34026001,17.75790353,14.63424844,12.82355389,8.14174515,11.1304371,12.49940219,18.06825037,20.29112819,20.69388956,20.54891098,24.55144538,26.87129379,4.874196674,4.988251045,17.91650558,8.843601938,7.052649207
STRAND STREET GREAT,3.10094493,5.060790522,3.383963399,4.25084024,8.177935631,3.38431236,5.531398634,7.820006562,1.980799379,1.951300445,6.918867369,6.475934186,7.655343317,1.263387065,4.061055842,5.809188461,3.487262254,6.298310715,10.88929681,9.29178194,5.261036569,4.667641732,4.646785766,3.023724722,9.303486593,6.884355937,4.061454048,5.219158851,1.908328131,3.133223337,1.915110411,6.793693332,2.097175509,8.102669522,6.790179603,5.969464972,4.759378928,5.76010212,9.021644314,1.327590488,7.558598832,6.881426286,8.428745941,5.755843264,4.811096455,0,9.659001444,11.2625002,3.756454758,4.165428044,5.119469504,5.383277603,6.534826782,11.81862132,10.5138038,12.01179463,4.341735215,6.346342896,4.841403654,9.986978789,8.884424621,8.288533918,12.41972319,14.24436824,16.13003679,13.15983245,12.52126663,13.7954885,4.819879893,6.565485113,5.863971544,8.053869226,11.36841385,11.58785535,1.802946103,6.241278548,5.381053326,14.18625425,15.57548181,16.17949406,21.50825236,17.86137146,19.64995981,13.36546521,10.18953215,8.480619162,8.621831817,14.93967497,16.11861272,13.66679034,15.83725002,16.26136117,15.97583406,19.94784318,22.29886677,4.456488841,8.729336481,13.47319201,4.766464095,4.56307264
EXCISE WALK,9.33327487,12.3544225,12.50379804,13.90965844,11.31440692,12.70146994,15.0548912,1.843499371,9.633375261,11.0671775,9.541865566,13.54476741,7.022180366,9.382462664,10.45065388,3.849816228,11.85599784,12.19837687,6.488507835,5.78520648,5.648325195,5.098963387,5.048432942,8.161780481,4.188024952,5.392845352,7.411785345,8.073146588,11.52599693,10.55620481,10.21894583,3.432999361,7.798500941,13.17036974,16.43696222,7.46687265,9.924719767,4.484650623,8.502286684,10.84574933,9.834151568,16.45185057,14.34735666,9.463852203,5.624649954,9.659001444,0,1.603597146,10.70810478,9.6390008,9.439212384,10.70299721,10.38080534,4.926920937,3.948260087,4.491604336,9.125043182,9.674086878,10.22390001,0.9058161391,3.297801114,1.884641232,2.770170117,4.602130472,6.491500227,3.858896784,3.657217823,4.889352583,12.34170501,16.08992994,15.24583446,17.65812499,20.98975909,21.17400972,11.24625578,11.57576293,11.48142086,23.77025458,25.12976006,25.78859438,31.12773278,27.41233427,29.21421143,23.01186848,19.84141821,18.09970649,6.88065825,5.505789806,6.892699182,23.31550104,25.49502924,25.91727334,25.62334769,29.57839476,31.93981527,6.813184735,1.078202071,23.12861263,14.21183089,12.66659638
GUILD STREET,10.86963972,13.84180605,14.08469045,15.51308582,12.51126909,14.29448755,16.65275259,3.444693575,11.21122564,12.66090196,10.79446656,14.99283712,8.126459115,10.97659281,11.93787962,5.453318177,13.4184429,13.60942252,6.907332268,6.554266778,7.124727114,6.692235514,6.646551117,9.701723452,4.929016301,6.651772459,8.915535285,9.453340957,13.12913716,12.09310591,11.79582156,4.919343054,9.391956754,14.48186389,18.03912734,8.793792738,11.37235299,5.994793104,9.440212809,12.44591381,11.0276952,18.04824905,15.70341945,10.80668429,7.143539898,11.2625002,1.603597146,0,12.22943574,11.12067176,10.85290061,12.12541967,11.69893607,4.833179665,4.246994918,4.2180534,10.57654024,10.96665992,11.6561168,1.578440667,4.213436603,3.292740502,1.187622736,3.014940648,4.901865205,2.59721905,2.779722354,3.802439302,13.85559349,17.68706544,16.83623032,19.25909106,22.59126574,22.7729826,12.84365133,12.94591581,12.91332422,25.36852658,26.72523656,27.38864944,32.72828349,29.00699507,30.80977649,24.61352558,21.44386009,19.6992579,7.819897091,4.053098173,5.517579314,24.91742015,27.09817361,27.52009759,27.22641318,31.18000965,33.54224421,8.306390194,2.604777402,24.73140594,15.80279886,14.1961848
YORK STREET WEST,1.407843693,8.59766155,6.252013159,5.416774972,4.731598816,3.269117828,5.419354319,9.055593901,1.87039156,2.479158384,3.998049996,9.941874167,5.957145782,2.628830808,7.809097612,7.228465005,1.630397502,2.546141336,9.551194372,8.112646301,5.129714203,5.827843231,6.504368894,6.519202577,8.781483309,6.153026878,3.321692233,8.724140313,3.623678382,6.841330499,5.613379429,7.311392775,5.14138328,4.346403105,7.687784801,4.254777394,1.584327005,8.004766138,6.70163753,4.439309105,4.559875717,8.193638381,4.75552983,9.448144063,7.434349749,3.756454758,10.70810478,12.22943574,0,1.334049644,2.255368057,1.805721577,3.209589179,11.22872292,10.12246637,11.63877438,8.034647411,10.0393469,8.596859296,10.71977213,8.756934156,8.946355195,13.25711288,14.97150203,16.77563566,13.52583677,12.68172782,13.83426687,1.639693597,6.301807567,5.26672165,7.970673504,11.16648125,11.20092837,4.805133891,9.982322546,9.09661353,13.70322118,14.95012188,15.75867184,21.05177035,17.18414253,18.99132821,13.7630424,10.69450271,9.387367055,6.967503252,15.29631954,16.2077545,14.02858538,15.98198131,16.4381795,15.81093671,19.57505349,21.96480765,3.939775325,9.642577572,13.75192334,6.801340905,7.883607115
YORK STREET EAST,1.076537948,9.206936532,7.112714944,6.603834325,4.013770489,4.516821632,6.736889232,8.067632929,2.205935676,3.44187945,2.8874503,10.60323508,4.625828459,2.90560773,8.172371322,6.360942437,2.943431815,2.789312701,8.218346553,6.779926663,3.996824508,4.980102547,5.817550461,6.518849913,7.484253253,4.869727868,2.244152936,8.647175931,4.571669318,7.292291,6.080298378,6.210591736,5.029818823,4.338748729,8.955638414,2.922204979,0.6100970099,7.360066759,5.448481255,5.136221532,3.501941672,9.419330257,5.109897815,9.544810856,6.959231106,4.165428044,9.6390008,11.12067176,1.334049644,0,1.04107966,1.404611117,2.369463493,9.912185197,8.827283784,10.33675697,8.159621391,10.12800178,8.8675861,9.583789774,7.506065082,7.827939575,12.1116778,13.79269592,15.57328723,12.29877103,11.43168683,12.56289982,2.797670698,7.632142656,6.599762241,9.3020171,12.49992087,12.53084767,5.562210798,10.35285368,9.526635525,15.02537253,16.26198952,17.08059044,22.36558015,18.48811038,20.29372136,15.09137849,12.01229439,10.6697863,5.638570903,14.05799226,14.93272439,15.35825698,17.31596554,17.77207946,17.1418454,20.89499179,23.28467413,2.82678727,8.563524048,15.08337321,7.881858399,8.609422882
NEWMAN HOUSE,2.026671306,10.17825759,8.143234535,7.623707012,3.136519681,5.509917697,7.666007809,7.992235703,3.200428012,4.482728525,1.849507644,11.58550159,3.791372951,3.856717544,9.064969694,6.458024541,3.884973681,2.759655084,7.380681379,6.014939927,3.832473118,5.142272995,6.108021009,7.265191092,6.88412182,4.35204698,2.339687628,9.323431403,5.612400419,8.223081552,7.026242734,6.01782826,5.749544507,3.952490604,9.939812004,2.228968376,0.6995879464,7.651347908,4.448201808,6.147423495,2.471619011,10.42738379,4.960668076,10.30726674,7.396862563,5.119469504,9.439212384,10.85290061,2.255368057,1.04107966,0,1.275091301,1.501928425,9.22981593,8.222771693,9.703351603,8.948072269,10.88213085,9.717259413,9.288087128,7.024728249,7.579149256,11.78322024,13.40343642,15.13834654,11.83127064,10.92247495,12.00187429,3.452559729,8.524582374,7.477870538,10.1867663,13.33072071,13.3329521,6.581757812,11.23609353,10.43691741,15.78906098,16.99081265,17.84097389,23.09420238,19.19271898,20.99239277,15.98586478,12.93762728,11.64245121,4.779200489,13.56195209,14.35598543,16.24685987,18.16555345,18.62427914,17.94496057,21.64481758,24.03265323,2.786581915,8.361990877,15.96261681,8.92083299,9.612670212
CLONMEL STREET,2.413824661,10.34352975,8.05450739,7.138345308,2.925883275,4.956424835,6.89477666,9.226343774,3.405161689,4.283256781,2.431078791,11.70769198,4.912997861,4.156229499,9.436624877,7.623899706,3.261542427,1.501660361,8.455458395,7.166574757,5.076344075,6.271059316,7.166815715,7.891931868,8.119376826,5.617726915,3.468169275,10.03805545,5.429106103,8.512499012,7.286678953,7.276013476,6.416717806,2.934433479,9.284401762,3.471332171,0.8586263675,8.71358779,5.267900264,6.200311804,2.902604755,9.855000054,3.772633779,10.90361102,8.351688941,5.383277603,10.70299721,12.12541967,1.805721577,1.404611117,1.275091301,0,1.459330553,10.41970045,9.45238539,10.91711632,9.50794014,11.48977336,10.17105413,10.56196431,8.290027142,8.848101642,13.05830955,14.67597405,16.40515028,13.09418311,12.17726563,13.24057083,2.432607766,7.671672034,6.613303446,9.306044116,12.35386741,12.3204024,6.585411573,11.61938532,10.7639007,14.72798121,15.89446786,16.77276111,21.99034627,18.07279855,19.86581466,15.09600488,12.11605614,10.94045433,5.857358349,14.81778464,15.58667806,15.34636544,17.20141348,17.6629329,16.92227604,20.56146014,22.94533665,3.981370205,9.625120185,15.04762732,8.579005898,9.664394648
HATCH STREET,3.438921696,11.57277587,9.403822605,8.590924868,1.650000459,6.412256229,8.338116567,9.081436917,4.571139498,5.654482635,1.133542499,12.96370888,3.942678746,5.274200446,10.52804537,7.714675452,4.718565788,2.284919632,7.326743379,6.181948741,4.962676325,6.46602714,7.489609053,8.766305988,7.335169717,5.05146642,3.729391019,10.82269271,6.803274403,9.659906116,8.449562688,7.033800635,7.251311333,2.789602686,10.74088951,2.914332633,1.78594624,9.019023415,3.950103089,7.477413842,1.474523151,11.31430567,4.025814445,11.80801989,8.836843371,6.534826782,10.38080534,11.69893607,3.209589179,2.369463493,1.501928425,1.459330553,0,9.473857702,8.629687188,10.02984461,10.44550836,12.38349689,11.20000478,10.12061402,7.658059165,8.496969367,12.54388719,14.06819947,15.72538035,12.39899668,11.43776071,12.42112857,3.830256326,9.090401047,8.031858833,10.70915838,13.69635631,13.63637131,7.888503533,12.70503999,11.88963203,15.9940547,17.11874888,18.02733837,23.19560956,19.26229011,21.04297265,16.48430938,13.53618975,12.39046964,4.782211838,14.06956873,14.72674677,16.72906843,18.54418532,19.00702154,18.22042369,21.79350288,24.16998421,4.074586169,9.317657466,16.42310727,10.00976066,10.95395861
MOUNT STREET LOWER,10.14659818,15.76509263,15.12469322,15.8128242,9.687627648,14.07695524,16.45195585,5.744129685,10.94551588,12.57158034,8.367693985,17.11223396,5.540110432,11.0444919,13.94464844,6.924219348,12.75077858,11.71361182,2.596709607,3.292587493,6.591693563,7.409866593,8.079961072,11.47359459,2.530248728,5.134244582,8.184623347,12.11637702,13.39223717,13.73125991,13.02583191,5.286500185,10.54288394,12.00987804,18.36142832,7.01774453,9.900998129,8.373307854,6.047465274,13.14265475,8.328607509,18.60658366,13.38033093,13.55088573,9.318639494,11.81862132,4.926920937,4.833179665,11.22872292,9.912185197,9.22981593,10.41970045,9.473857702,0,1.354543215,0.7449659112,12.85673809,13.88283941,13.98104956,4.025868252,3.01986562,4.439105534,4.811563369,5.514495244,6.727251852,3.653917109,2.646355129,3.138451079,12.66079352,17.41973048,16.42675633,19.08553726,22.35469193,22.41628357,13.61045197,15.50486978,15.1886525,24.93147574,26.17415884,26.98694031,32.27772143,28.39693589,30.20101947,24.79989721,21.64681656,20.09975767,4.724218381,4.924814083,5.296105767,25.08219585,27.12354881,27.57293706,27.01820579,30.80376388,33.1935155,7.610075684,4.756751038,24.83429881,16.58068313,15.79629444
GRATTAN STREET,8.977740812,14.4109531,13.80035698,14.55419523,9.042350582,12.87184752,15.2586596,4.496370771,9.719739306,11.33846462,7.563729461,15.75772784,4.702675393,9.779663311,12.59026044,5.57674514,11.60271831,10.81131395,2.660341523,2.614707909,5.324978653,6.062325477,6.72602745,10.11905707,1.343426689,3.972488008,6.983402519,10.7872648,12.12455379,12.3794971,11.68525359,3.932293091,9.197176759,11.27557816,17.11052599,5.993820181,8.871198582,7.054962698,5.567003751,11.83428826,7.615125681,17.33172942,12.61406921,12.22096951,7.979209512,10.5138038,3.948260087,4.246994918,10.12246637,8.827283784,8.222771693,9.45238539,8.629687188,1.354543215,0,1.530153215,11.50801618,12.56342986,12.63162242,3.096374616,1.668337423,3.154980544,4.554525464,5.676453186,7.167182003,3.870802387,2.857704076,3.795891878,11.60822647,16.24070746,15.26391535,17.90015774,21.18947215,21.26951693,12.29902011,14.16069045,13.83664782,23.80433475,25.06886961,25.8588203,31.16706183,27.30653438,29.11379454,23.58268783,20.42000416,18.84570393,4.054692792,5.454520515,6.13451886,23.86832155,25.93215881,26.37863392,25.86009355,29.67865291,32.06760778,6.391078518,3.579994014,23.62790409,15.27971925,14.4480334
SIR PATRICK DUN'S,10.50566345,15.78220899,15.27419376,16.07553034,10.31765874,14.4019227,16.78879406,5.515008516,11.24883562,12.86638251,8.938379802,17.10529626,6.087166984,11.30056528,13.93597113,6.878163067,13.12840061,12.24584025,3.325193991,3.876406429,6.848758603,7.497412943,8.076063066,11.477887,2.85919933,5.49548211,8.513412081,11.98548659,13.64340025,13.7788409,13.13004503,5.335213979,10.63039921,12.61310409,18.63370509,7.477520518,10.36166377,8.230823014,6.712771644,13.32807861,8.933271926,18.84595449,13.97296165,13.41890431,9.227627981,12.01179463,4.491604336,4.2180534,11.63877438,10.33675697,9.703351603,10.91711632,10.02984461,0.7449659112,1.530153215,0,12.79512583,13.72417261,13.92150079,3.58651879,3.128850801,4.282157901,4.107736696,4.769747077,6.010573049,2.908956907,1.903913933,2.452035573,13.10909125,17.77036659,16.79215078,19.43015627,22.71831677,22.79621233,13.78948772,15.41690474,15.14552981,25.32798395,26.58803949,27.3827848,32.68783355,28.82222866,30.62879497,25.11159271,21.947869,20.36770917,5.327948338,4.219415831,4.697526052,25.39753722,27.46231201,27.908769,27.38841337,31.20226653,33.59147197,7.921128361,4.471466016,25.1576644,16.7781054,15.86444454
DENMARK STREET GREAT,7.099687358,3.310062718,4.620491938,7.017367908,12.08412277,7.27233563,8.815951882,7.46184073,6.17501456,6.192635505,10.54769132,4.420260279,10.32120969,5.410081897,1.46546112,5.932636346,7.79163384,10.57734845,12.78941431,11.24874617,7.307386257,5.72159986,4.816214883,1.725797828,10.62317705,8.915804896,7.108287911,1.400201457,5.618529139,2.157438718,2.895085183,7.62135764,3.234547601,12.34997333,8.992670137,8.987288989,8.76911144,4.665877839,11.99610758,4.35524007,11.1789192,8.638836221,12.75788523,1.415746498,3.581082411,4.341735215,9.125043182,10.57654024,8.034647411,8.159621391,8.948072269,9.50794014,10.44550836,12.85673809,11.50801618,12.79512583,0,2.007168963,1.126390502,9.789408435,9.873949209,8.53060352,11.75101136,13.53035222,15.37093755,12.98072048,12.64965792,13.93572458,9.159502438,9.736988568,9.361997384,10.85466675,13.89040589,14.24575206,4.38382947,2.682996344,2.367560956,16.75036608,18.18987977,18.58777727,23.75803958,20.42688336,22.1392921,15.16773929,12.19230032,10.33140059,11.09890105,14.61220338,16.01773367,15.48244578,17.73153093,18.1010212,18.16029924,22.16611821,24.41066474,7.164680728,8.557331871,15.38566801,6.398970176,3.897849359
NORTH CIRCULAR ROAD,9.077171664,4.014801455,6.152495522,8.681767397,14.01189427,9.17615718,10.54025775,8.226176009,8.176853345,8.175190174,12.42442266,4.566327271,11.96056526,7.412779465,2.814187143,7.066010401,9.781184998,12.58040728,14.12876782,12.64934345,8.903233287,7.185991126,6.139416575,3.617469649,11.8314768,10.42471947,8.936274427,1.820524317,7.535892251,3.826017375,4.799638065,8.830122306,5.133572352,14.34716292,10.39388507,10.75114527,10.7357981,5.509755594,13.68637048,6.269958703,13.04722555,9.913254692,14.76505362,0.5915001947,4.651034517,6.346342896,9.674086878,10.96665992,10.0393469,10.12800178,10.88213085,11.48977336,12.38349689,13.88283941,12.56342986,13.72417261,2.007168963,0,1.872416197,10.44598673,10.99838818,9.453313883,12.09273286,13.78269379,15.54745825,13.49896249,13.31424902,14.56299115,11.16090334,11.40519881,11.13063432,12.38000977,15.25066574,15.64877876,6.235267943,2.173741554,2.64415109,18.07970912,19.52066109,19.83307219,24.88857462,21.71519856,23.38170069,16.22874955,13.40432551,11.55428474,12.66450422,15.01166537,16.48332585,16.542247,18.7831236,19.12484916,19.3221736,23.29717353,25.47830842,8.922705284,9.307626235,16.4855809,7.804910448,4.944059314
HARDWICKE PLACE,7.793317553,2.378159683,4.280101805,6.813673517,12.84826995,7.407744719,8.678929719,8.578876414,6.779540971,6.538962463,11.3844299,3.341909229,11.32538145,6.018776575,0.953379333,7.057393366,8.152868194,11.13971417,13.87930648,12.32844846,8.343435731,6.80667034,5.930232555,2.703879334,11.73570396,9.97357348,8.013819022,2.276346033,5.794142135,2.001814824,3.096451415,8.738483888,4.133912201,12.94187708,8.544162147,9.928594678,9.476762741,5.780441336,12.96966508,4.5417336,12.02209326,8.094653569,13.245415,1.423417581,4.705464132,4.841403654,10.22390001,11.6561168,8.596859296,8.8675861,9.717259413,10.17105413,11.20000478,13.98104956,12.63162242,13.92150079,1.126390502,1.872416197,0,10.9012994,10.99474394,9.656494646,12.8251327,14.59189269,16.42063208,14.08204933,13.76535781,15.04925076,9.577463749,9.53519221,9.27933888,10.51268281,13.41719429,13.80510231,4.449428251,1.611622674,1.257990266,16.25726474,17.69882319,18.03874309,23.14108939,19.90776542,21.59066521,14.50287631,11.61409298,9.756477623,12.13074442,15.69955358,17.11546013,14.8173488,17.064601,17.41919137,17.55813965,21.54851593,23.75796439,8.121556313,9.675195272,14.74344684,5.948213413,3.165887284
